Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Congo, Dem. Rep.",COD,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,-689797149.8,-765799942.4,-372999915.8,-405999980.5,-390999991.1,-429787372.7,-388257908.7,-376371537.3,-297700970.5,-226638739.4,-308145925.3,-507462151.1,-469683403.8,-634188043.8,-1329876498,-785796139.2,-910780566,-1296444567,-1596183888,-2811118209,-3039971068,-2790928517,-789434613.1,-1073606608,-1703830657,-2814108603,-1272871345,-3364094411
"Congo, Rep.",COG,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,-2176293.886,-2829104.675,-3119303.655,-3070942.4,-3368494.411,-3672555.982,-3822766.105,-2488422.628,-3635413.38,-5000758.301,-6799750.611,-7027006.823,-6308516.713,-20266118.52,-15874776.08,-29260896.99,-37175443.09,-37710762.45,-54609683.91,-92999718.33,-161610395,-112172664.3,-138383662.6,-173859557.2,-126930382.2,-136799402.4,31699917.29,38399900.52,-305698619.1,-362398077.4,-474905333.8,-445930234.5,-377797875.6,-522162614.7,-254860956.9,-887711904.9,-1085611107,-661576601.9,-470872386.5,-709219985.7,-947041574.1,-827275626.3,-850735696.5,-919728601.1,-1489616786,-1606208758,-1234118313,-1412846609,-1435058296,-761903101.3,-926859909.3,-1565723484,-956439084.2,-411356883.1,262863961.7,-65839360.08,-390806296.8,-1558557482,-823332220.1,-1408263371,-1571808705,-583584520.2
Colombia,COL,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,-99993657.3,-131988124.7,-172989682.4,-175351536.7,-197618474.9,-211373184.7,-185620550.1,-322085763.1,-356461274.9,-317624638,-340640877.8,-291230095.6,-245249887.5,-484240597,-968392149.6,-1214950696,-1574995964,-1674999608,-1748005549,-1990006562,-1745003111,-2299008313,-2304996558,-2089184049,-2257192101,-1955492237,-1490460151,-1596276286,-2062696463,-2325507473,-1695512616,-1353414605,-2156675207,-2423779924,-2631370301,-3232419301,-4064278361,-3720644968,-4295383817,-6353775619,-8364031819,-6905112586,-9961709932,-14203473508,-14185017521,-13213395697,-10829356197,-3824746791,-3127904197,-5339631241,-8273494318,-7051870562,-2458013178,-5208636881
Comoros,COM,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,632296.9096,260785.8341,566742.8984,-502984.8099,-627968.2254,-1172528.465,-1520527.977,-977260.4764,-2237702.273,1270071.748,-705201.7814,-510449.1421,3868682.411,1822289.997,451490.2541,1017744.822,367478.4966,232984.7531,-368362.6589,201398.691,341994.2702,713513.0402,-756870.1302,-1352644.87,-2165402.582,-1672323.096,-1439173.731,1552087.288,-1787274.738,-1245746.131,-851364.2168,-784851.027,-1692667.32,217360.5054,4507792.222,5011628.096,5519220.428,5033633.867,6280014.297,5644520.552,5909093.568,6308483.978
Cabo Verde,CPV,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,-3390173.964,523670.9539,-4472212.072,-6874443.753,-4495868.771,-4076101.393,-2691375.247,-223001.747,748464.9807,3220136.166,2285262.447,1197204.795,1281278.485,963109.4036,-341577.2185,-2572461.713,-4400938.353,-3586520.184,-5531926.078,-8874116.442,-14052947.23,-6061179.272,-14717575.59,-14514390.9,-18205389.65,-33666225.96,-44948446.48,-31380323.76,-47060642.99,-43007014.4,-73146164.63,-73136058.55,-74579849.16,-64603216.47,-92635959.75,-59058256.87,-59441607.37,-61055273.2,-46761744.54,-42163834.38,-40944015.08,-37730426.82
Costa Rica,CRI,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,-4755637.564,-5304174.618,-9546157.201,-8792875.295,-11416083.97,-14100000,-15500000,-17600000,-19200000,-15900000,-15800000,-17050695.77,-37565636.77,-40770807,-41731639.34,-65928401.4,-75621026.84,-79700000,-113300000,-149700000,-216099988.3,-284099902.1,-403900098.1,-333599904.6,-301900190.2,-282199905,-273900191.8,-297099584.2,-336800000,-401900000,-252500000,-184073396.2,-197460598.5,-205759319.9,-92071237.25,-149372168.3,-100257355.9,-116667554.6,-265133856.7,-519012768.1,-688764634.4,-734098287.1,-762507447,-797070005.9,-787913976.2,-753314832.3,-660555608.9,-687366055.5,-588624833,-1001178033,-1186188386,-1418127186,-1455699163,-1828081965,-2113909387,-2379903468,-2451550581,-3160942825,-3343991845,-3831678887,-3501246462,-4149908798
Caribbean small states,CSS,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,-108997800,-132402200,-155830849.9,-191312304,-218239024.4,-249314634.1,-264191473.8,-272633494,-341769220.8,-372667671.2,-381477222.2,-388178433.7,-405521764.7,-420970314.3,-442576664.8,-453826291.1,-479653467.7,-499222307,-466347889.2,-423480584.4,-610497606.4,-453927801.3,-324876621.6,-356486486.5,-571351351.4,-669985956.8,-492800000,-483500000,-448600000,-514900000,-621900000,-503600000,-610573800,-560400000,-650200000,-633200000,-572222222.2,-888611111.1,-977037037,-1521296296,-1325925926,-1064000000,-995000000,-922000000,-1054000000,-1119000000,-1284000000,-1354000000,-1475000000,-1554200000,,
Curacao,CUW,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13351955.31,37128491.62,46329608.94,68715083.8,91882681.56,77916201.12,109524413.4,104871508.4,132301452.5,116089385.5,112843334
Cayman Islands,CYM,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-222716908.7,-141863674.5,-1386063843,-1759794552,-1930540622,-1915230289,-1806404776,-1705884075,-1669678147,-1538091684,-1447873035,
Cyprus,CYP,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,2221549.026,8640845.786,10693995.77,10179640.72,20066334.99,16317991.63,15166461.16,-222469.4105,2592223.33,4894433.781,-35028248.59,-37028014.62,-42659974.91,-31124260.36,-33930857.87,-32575757.58,-45762711.86,-38987043.58,-52500000,-501888745.1,-484090338.8,-523192702.4,309276018.1,-602610571.7,-857276154.6,-742094717.7,-589028846.2,-592955832.4,-974662500,-958400696.4,-1112482750,-1535628251,-456374135.1,-72997803.56,-363787074.1,726035325.7,-173349365.3,-284343811.9,-618235552,-129503030.1,-835251740.1,-671760830.3,-915923539.2,-1403172000,-1758023644,-2400010693
Czechia,CZE,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387126742.1,358693787.9,420739968.7,,,,,,,,,,-5675063619,-6336413801,-9725211988,-12247741910,-14427151367,-14320201437,-15651800558,-18526533899,-13429702465,-13446047852,-14371480188,-12896143097,-13241084428,-12378416917,-13669725685,-15263875110,-12264710634,-12614350845
Germany,DEU,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,1150520494,1154893771,1133096363,1647606293,1899017459,2499492010,3139065558,3111796513,6059172347,5544501120,6438299978,4825355257,3979504312,5842074301,8158928596,8329448578,10151139332,11438411317,19155727809,21585071258,28898843966,20463652328,19914157796,15720636460,2011088345,-3540330285,358721081.4,-4224001805,-12809825497,-15183051276,-10957739282,-13667306591,-22049833705,-25410387049,17000412961,23504597516,50649600942,49741500433,35555513457,76913881872,68194865333,96010113570,84629029816,86459156235,77919228002,76515337476,86077213667,87940031182,1.33991E+11,1.30852E+11,1.14525E+11,1.51093E+11
Djibouti,DJI,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20492794.89,19986383.15,23019226.77,16638438.9,17308027.75,15738151.37,12187642.43,10589632.06,12384580.33,15788792.55,12418341.11,15293634.4,20914804.67,22529695.42,20791015.13,23041733.95,23885753.51,32709527.86,21680049.07,17358668.92,8744042.629,27633200.35,-27832388.97,-23651678.75,-27004124.44,-79984920.18,-126665953.9,-142174745.8,-93843721.34,-98564604.07,-60341771.65
Dominica,DMA,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,0,-200000,-100000,300000,500000,200000,-444444.4444,-2270370.37,-2270370.37,-2411111.111,-2344444.444,-1562962.963,-3988888.889,-4892592.593,-7662962.963,-7277777.778,-6374074.074,-11022222.22,-13300000,-18807407.41,-16911111.11,-15225925.93,-25544444.44,-39318518.52,-25107037.04,-27930370.37,-27016185.19,-33333037.04,-28979518.52,-15004333.33,-19614851.85,-18336074.07,-13655555.56,-9440740.741,-10548148.15,-9529629.63,-19507407.41,-16643888.89,-18893185.19,-21129074.07,1815851.852,811259.2593,-9464592.593,6910851.852,1643666.667
Denmark,DNK,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,92263732.96,85737827.6,61831840,79758293.33,58539333.33,42104412.7,36406544.54,130852301.8,1424469.639,-22110264.17,23909015.72,-51475379.8,-133046458.5,-690678198.1,-516239110,-981922958.1,-1372120758,-1245977037,-1519594848,-1681391605,-2139176987,-2288186044,-2666674590,-2985724194,-4069601687,-4323669976,-4370672951,-3388086028,-3514943087,-3337855205,-3675306534,-3138920433,-2517311366,-1874659557,-3736932612,-2430792522,-2222883707,-1952274694,308958288.1,2131768080,3426548732,1603321270,3940683784,3205618460,5266643848,7254068270,7387342377,10878847794,12839987171,9291002620,7696549086,7269994624,9913820947,10040713100,11476804216,13777070472
Dominican Republic,DOM,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,-10099500,-18600100,-21599700,-20299800,-19099600,-11700000,-18500000,-19500000,-18900000,-23200000,-9200000,-2100000,39700000,6200000,-5200000,-1800000,-6100000,-79600000,-3000000,52400000,-210500000,-293100000,-254100000,-297100000,-357700000,-319100816,-244802775.2,-298996722.8,-321400883.4,-313030015.8,-314749979.5,-363365389.4,-441133504,-697000000,-682094310.8,-769000000,-724814613.5,-795449574.8,-891353143.2,-975360664.1,-1041395637,-1091556809,-1152078310,-1401270674,-1814296177,-1903868562,-1852350727,-2182972926,-1748215356,-1721216911,-1927200001,-2254500000,-2399600001,-2972300001,-3247400000,-2936400000,-3253099999,-3793800000,-3691700000,-4068900000,-3825000000,-4706200000
Algeria,DZA,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,497917947.8,537376719.1,201669785.9,61304348.71,459196.6944,-81019221.81,-121528832.7,-81019221.81,-60764416.36,0,-121528832.7,-40711639.46,-22318937.62,-75709779.18,-71758317.99,-177242112.7,-312214803.8,-1170782290,-1265790867,-1706070122,-1868713191,-2000324389,-1989242629,-1791889409,-1678974194,-1544214169,-1693001297,-1898880343,-2498816528,-2046500013,-2267931901,-2547623817,-2159990085,-1749970007,-1734851842,-2190013665,-2560004601,-2219988459,-2000000000,-2290003440,-2710007202,-1605983293,-2226390184,-2518754442,-3600552868,-5092082979,-4525125746,-1835035300,-1335169736,-1405280850,-445648374.7,-2043587764,-2647531469,-4154688768,-4935628390,-4312026648,-1560162313,-2538040785,-4403810494,-4199270068,-2944261095,-3586480227
East Asia & Pacific (excluding high income),EAP,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,-25955602.81,-27809693.65,-23854334.35,-17818741.25,-18943280.28,-25011989.75,-25212085.67,-24911941.79,-27112996.89,-28013428.52,-29214004.02,-35717121.36,-45221677.46,-116055632.4,-167180139.5,-55326521.32,-139867046.7,-196394143.5,-268928913.8,-404794042.1,-613384031.8,-761665111.8,-1000479590,-890426835,-1103528988,-1059507886,-1042499733,-1059507886,-1233591334,-1364654161,-1210580304,-1117558779,-944472236.1,-860730365.2,-940370185.1,-924462231.1,-1023411706,-1027413707,-1171085543,-1307353677,-1224212106,-1232400000,-1252762200,-1492418100,-1840032600,-1815521200,-1827604400,-2034421000,-1472262000,-1278176000,-986194000,-1208821000,-1337120000,-1467535000,-1582040000,-1789124000,-1909057000,-2437655000,-2956570000,-3173507000,-2864267000,-1663613517
"Egypt, Arab Rep.",EGY,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,-39755351.68,-39499244.55,-24988942.95,-22897196.26,-59079903.15,-64054257.72,-73195613.36,-68510858.32,-124052551.8,-119052566,-243971942.1,-342005958.3,-425013155.6,-662977562.2,-1069000000,-1459722222,-1665000000,-1783990271,-1878230617,-2062997312,-3283949325,-3812722264,-521853888.5,-208413174.3,-509629337.1,-1105115612,243200000,213300003,222600000,215600000,326600000,436800000,511100000,856000000,511200000,467000000,1071500000,95800000,-107200000,-206700000,-253800000,530700000,1177000000,1359700000,153600000,-4364700000,-6049500000,-6479400000,-7406400000,-7262700000,-5700900000,-4471700000,-4568500000,-6279600000,-11009600000,-11354000000,-12399200000
Euro area,EMU,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,200000,7550000,-7700001.573,-3174974.652,4307705.891,6098054.608,475657.1429,-2357655.069,-6102713.817,-9664560.2,-15294346.33,-9422224.247,-8702439.024,-7227733.333,-11754113.82,-16161944.72,-19627973.98,-23546465.04,,,,,,,,,,
Spain,ESP,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,-401652008.6,-351702994,-353383380.8,-208075385.5,229567349.3,-333214492.8,-875749813.5,-1253780942,-1706393229,-1552568171,-2601093061,-3854417012,-3913913373,-3918777262,-3828054233,-2498795499,-2874924557,-3441161569,-5007168976,-3925065355,-5435794972,-6094589271,-7943538111,-3709636554,-12856137126,-3622171070,-5825508998,-5170155682,-5877644504,-5766916359,-4279096940,-8689397676,-8027920929,-7447560022,-9967389263,-15929331847,-23310192159,-36171026889,-45299268438,-28556775305,-20726254367,-26129784008,-10595652177,-9049796319,-5020404464,-262954555.1,3051731882,493670674.1,2048956075,2466202345,3125048554,7490294384
Estonia,EST,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-213445130.4,-285603795.5,-329823867.4,-520827687.4,-592551552.8,-545792811.8,-876731903.1,-1523116616,-1272447634,-598360655.7,-1049871266,-1185389093,-954469504.3,-608410873.8,-757909697.5,-502387436.9,-535519726,-662332073.8,-648934503.1,-584813483.9,-350996864.3,-644948291.1
Ethiopia,ETH,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,-7053140.097,-8792270.531,-13526570.05,-19516908.21,-33140096.62,-31278454.11,-47331980.68,-64589371.98,-80338164.25,-67047101.45,-73456280.19,-63775557.54,-96282065.69,-79490360.17,-60421911.98,-43580551.73,-96945478.89,-66413687.88,-52490340.7,-60128766.22,-51256562.36,-53601882.31,-66110168.41,-63530552.82,-35785045.54,-38399935.49,14189629.29,19937483.77,-41650907,-108215406.1,-69491315.14,-96192408,-106781281.9,-152795252.5,-262500248.8,-242680956.5,-485600324.8,-377299086.1,-589608686,-612594506.7,-557097930.9
European Union,EUU,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,-81562853.91,-95078147.2,-126181531.4,-172212540.8,-220209547.8,-336327784.1,-390329281.4,-507423638.8,-535139350.2,-571097542.4,-694993624.5,-920150179.1,-1062953004,-1026746371,-985980411.6,-910563123.6,-998925639.2,-1286193697,-1325144279,-2492131079,-3557942777,-4228698721,-4851649854,-4355389820,-3926079681,-3922930283,-2980843904,-1897835300,-2582331998,-1353536089,-785070666.7,-47468364.96,425508176.5,-1011257391,1389438888,854690017.1,1975056949,749651487.5,479466282.8,3148023926,3226794367,1055102082,1207701352,1114291035,2751325124,2306677300,1095834082,127653972.9,1107735330,1359042055,4597339339,5518666287
Fiji,FJI,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,-4281576.628,-4407505.352,-4785291.525,-6674222.39,-4155647.903,-6170507.493,-3774534.474,-5221932.115,-7786556.739,-9034766.697,-9400435.63,-11808722.09,-11148812.41,-5792369.68,-2234483.615,-15905341.28,-11406706.03,-9373991.716,-5314359.943,-13334450.16,-17848533.01,-10882284.11,-36250536.25,-28348770.89,-28203122.11,-10423110.26,-8318651.249,-11111102.18,-15270083.2,-19365468.89,-47471132.42,-39644890.21,-50033266.8,-54222337.53,-86127996.72,-39251937.71,-27934155.21,-37473159.24,-55617072.68,-64835499.59,33261298.51,-13924273.04,14815492.25,1002215.424,288517.0225,43347131.87,-120898798.5,-75558902.07,-87092928.41,-11453699.44,-97628355.49,-116105477.7,-146656237.8,-81944067.34,-225401367,-275362318.8,-269298706.3,-423097392.2,-359825620.4,-450703573.4,-281066847,-250313918.7
France,FRA,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,813306499.3,808842652.8,804360636.4,553737043.1,925500994.3,1066648457,932067397.7,1611918605,2699660808,5173859050,3907060954,1422297634,-2314312764,-3380619980,-729303548,3309972535,7418967587,6726131483,3919391322,4419949404,3325194745,5465923172,6384063007,4533317580,5360756998,13677394538,17666891436,19588614632,29779925507,21573741920,24838493688,15637898272,24482835528,29344899551,37620045746,46429533296,52849744626,63832258099,62116635158,61230875683,76170575350,58677583433,62983341774,61900165544,52676343508,52312241113,58654176364,64704497592,58547397388,40975143212,87300427767
Faroe Islands,FRO,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34249641.83,42802671.94,40962007.15,30626712.16,40026853.46,54920533.72,65814291.2,60864780.14,67397591.98,68795120.97,15437123.63,-51875617.9,30244839.17,135209641.1,126232196.8,146876057.2,104908686,69650262.34,102663517.4,100152963.1,90995470.81,93606621.29,93609085.77,91711599.94
"Micronesia, Fed. Sts.",FSM,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,4500000,,,,,,,,,,19600000,20800000,11088500,10257000,2501600,672300,5882600,6075700,5045800,4243600,3746400,6836600,8351100,8542700,10363500,7227200,16472200,10563100,9554200,15361000,25493600,25383200,59362100,54735000,49887900,10265100,46300000,46400000,41100000
Gabon,GAB,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,-6675043.261,-8606472.883,-11456466.2,26912167.62,-18796113.65,-20403088.79,-20351806.49,-25203155.95,-27871583.36,-22695287.6,-16642466.69,-23968858.69,-28568296.55,-57427641.06,-126295847.5,-153047249.8,-178698102.8,-151416669.9,-226894173.9,-361505291.4,-423609373,-327897264.6,-313140724.4,-294961999.7,-224049677.4,-243509946.5,-246602784.2,-242898898.6,-277658199,-234476658.2,-615944504.8,-553690817.2,-728016508.3,-633121471.9,-498014504,-665417433.8,-763040395.5,-716491989.6,-515113670.3,-568915065.5,-780671296.3,-629713883.6,-481015785.8,-714735054.9,-1193329515,-957972409.7,-1360620536,-1830832221,-2164656951,-1377437999,-1888128056,-2499084347,-1713493693,-1704773602,-947717680.5,-1194388863,-1089015308,-943759023.2,-1107310145,-1363316000,-813473233.8,-3164511771
United Kingdom,GBR,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,515553155.7,453217327.8,289592907.1,843324350.8,906089294.1,142763274.3,320988319.9,-1252300715,-1092496644,-2504987294,-4884643272,-4290576768,-4705258560,-2664373200,-1882745411,-3672693789,-2491487833,-4111642425,-4294155105,-5880935864,-9331892756,-8827185185,-5432537733,-6020373425,-2109951025,-5529940035,-4964773791,-3223726261,5800412388,-5879307555,4451505523,8782208147,20526079137,23355102041,19761991944,26227272727,-10791168353,-28387354942,-38779411765,-20345848263,1032171383,11168953545,-25126096925,-49434029713,-54795748845,-63810692067,-63118855915,-28893082281,-39229883075,-1174300520,-60756443229,-13681033686
Georgia,GEO,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24734108.34,-45615763.38,-44689328.5,-119575589.8,-71247299.78,127400000,190702259.3,146901210.2,37400000,20000000,10400009.11,9499557.254,73799979.13,60800022.07,161099977.5,36000000,-59299973.17,-43600000,-217399988.8,-425900029.6,-172399987.9,-317099976,-229800022.7,-338699995.6,-701400008.5,-795442359,-684562793.5,-777618331.4,-738591150.3,-1169455696
Ghana,GHA,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,-14005602.24,-19607843.14,-14005602.24,-25210084.03,-16806722.69,-26610644.26,-19607843.14,-37166085.95,-50987840.38,-48046234.2,-44124092.64,-45441624.92,-27763708.33,-18309859.15,-19254658.39,-22340425.53,-20338983.05,-11428571.43,-8376963.351,-14102564.1,-18879668.05,-12906975.99,-10504201.68,-36155202.02,-47782126.55,-79372998.22,-126324823,-138068027.2,-131172802.7,-117863367.3,-112409323.4,-121671195.7,-106199084.7,-112311248.1,-111026150.6,-133128440.4,-143696024.5,-133799316.4,-151841263,-163902475.6,-146963296,-108082228.1,-129440307.9,-164972312,-198179655.4,-131142730.9,-127929625.2,-140567982,-116652855.6,-94282918.15,-534148251.7,-1223011706,-2095998685,-1750443121,-2862728095,-1485478733,-2203591769,-2974685438,-3029044119,-2810231035,733428186.4,-1956935079
Gibraltar,GIB,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,-157427277.6,-124199998.8,-131200012.1,-169900003.7,-148907510.8,-165909220.8,-140999796.8,-83300845.65,-73197271.78,-80622564.8,-88904724.88,-110915417.7,-119609983.1,-78960008.04,-73123875.17,-87066703.93,-32630811.71,-245451485.8,-268880550.8,-279135055.3,-40820000,-63150000.07,-91200000.09,-168200001.3,-77110000.28,-133389999.2,-121980000.5,-405159998.2,-284139999.1,-143243322.5,-148999459.8,-50626906.18,-408258814.7,-660363762.8,-1316385550,-1874796396
"Gambia, The",GMB,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,,-1272121.094,-1619147.554,-1299459.586,-1098895.318,-405033.1858,1072291.863,1633187.963,-606127.4392,-2671732.684,-4099651.365,-3711235.052,-6435160.515,-13775070.11,1049998.605,25249826.65,28553675.09,29850107.43,5250134.16,-16852260.14,-25411841.6,-20140202.22,-18597356.03,-18927938.21,-18032133.84,-15363913.54,-16103560.2,-23753593.07,-25301115.28,-28879465.74,-30234320.75,-31224743.74,-32947936.02,-22717786.23,-20628466.11,-22445386.59,-25081530.12,-25853023.71,-25589264.79,-27993323.17,-29906183.06,-31867450.74,-29259418.71,-29670000.22,-28969999.76,-33049999.76,-27824693.07,-28299151.02,-29199211.66,-30000000,-26910890.32,-51250359.33
Guinea-Bissau,GNB,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,,,,,,,,,0,0,0,0,0,2451195.363,-7377150.537,-5788590.353,-6632708.934,-1699949.648,-5894454.472,-1652727.273,-2400462.012,-415579.2163,-82950.51246,15674993.75,-817035.8961,-8299992.546,-10000029.14,-12299966.58,-10640016.5,-17000001.78,-13499992.5,-15299995.74,-14089957.38,-18020457.19,-18600045.84,-14700189.53,-14100048.85,-14300020.9,-12430938.54,-15904378.18,-8781593.027,-11030877.88,-10301543.22,-11436276.22,-5591582.61,-3516930.379,-13609239.69,-10244690.23,-3639383.679,6443535.96,5385233.519,-20034456.19,37385047.27,25581868.56,29736978.52,2755500.798,-51130036.83,30380040.65,24496773.72,2310487.223
Equatorial Guinea,GNQ,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,,,0,0,0,0,0,0,0,0,530000,423210.3528,-174262.1089,204256.78,364033.4911,402389.9524,399085.2428,398883.6524,,,-1842946.759,-6584629.259,-9749826.597,-3905446.908,-3058130.443,-4200377.285,-5582088.264,-5305018.091,-7030209.013,-7258726.811,7485254.429,10322227.5,15079215.15,12502165.19,-8453569.287,-23845852.66,-45019826.12,-54964334.43,-80311645.97,-100883694.8,-370191580.1,-873522588.5,-985362311.7,-1560540571,-2929304038,-4044355398,-2146996090,-2620972285,-5113061413,-5088944766,-6735987056,-7538124537,-7544113598,-6944972651,-6969066770,-3240478470,-2530870584,-3217382492,-3070031580,-3034217098,-2644627902,-3121630618
Greece,GRC,Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,74261916.1,91136991.24,93590391.14,113218726.2,139724531.7,139748384.2,141453270,158180686.8,193383567.8,201409365.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5075871248,-8216237863,-10600536225,-7354002872,-6573206822,-7844592108,2024613672,-9766980.06,1528163824,-159544625.1,-941625874.5,-1001161868,-2339172102,-1846056007,-920260551.8,-938759908
